recovered_name	original_obfuscated_name	kind	detail
orchard.config.CloudConfigManager	q96.x.IlIIllIll	core	identified from direct evidence
orchard.config.LegacyConfigMigration	q96.x.IIlllIlI	core	identified from direct evidence
orchard.core.Category	q96.x.IlIIIIIII	core	identified from direct evidence
orchard.core.ClientEntrypoint	q96.x.llIIlIIl	core	identified from direct evidence
orchard.core.MainEntrypoint	q96.x.llIIIll	core	identified from direct evidence
orchard.core.ModuleBase	q96.x.lIlIlIII	core	identified from direct evidence
orchard.core.StringFactory	q96.x.lIllIIII	core	identified from direct evidence
orchard.core.Theme	q96.x.lllIllI	core	identified from direct evidence
orchard.internal.I	q96.x.I	unidentified	
orchard.internal.II	q96.x.II	unidentified	
orchard.internal.III	q96.x.III	unidentified	
orchard.internal.IIIII	q96.x.IIIII	unidentified	
orchard.internal.IIIIII	q96.x.IIIIII	unidentified	
orchard.internal.IIIIIIII	q96.x.IIIIIIII	unidentified	
orchard.internal.IIIIIIIII	q96.x.IIIIIIIII	unidentified	
orchard.internal.IIIIIIIIl	q96.x.IIIIIIIIl	unidentified	
orchard.internal.IIIIIIIl	q96.x.IIIIIIIl	unidentified	
orchard.internal.IIIIIIIlI	q96.x.IIIIIIIlI	unidentified	
orchard.internal.IIIIIIl	q96.x.IIIIIIl	unidentified	
orchard.internal.IIIIIIlIl	q96.x.IIIIIIlIl	unidentified	
orchard.internal.IIIIIIll	q96.x.IIIIIIll	unidentified	
orchard.internal.IIIIIIllI	q96.x.IIIIIIllI	unidentified	
orchard.internal.IIIIIIlll	q96.x.IIIIIIlll	unidentified	
orchard.internal.IIIIIlI	q96.x.IIIIIlI	unidentified	
orchard.internal.IIIIIlII	q96.x.IIIIIlII	unidentified	
orchard.internal.IIIIIlIII	q96.x.IIIIIlIII	unidentified	
orchard.internal.IIIIIll	q96.x.IIIIIll	unidentified	
orchard.internal.IIIIIllI	q96.x.IIIIIllI	unidentified	
orchard.internal.IIIIIllII	q96.x.IIIIIllII	unidentified	
orchard.internal.IIIIIlllI	q96.x.IIIIIlllI	unidentified	
orchard.internal.IIIIlI	q96.x.IIIIlI	unidentified	
orchard.internal.IIIIlII	q96.x.IIIIlII	unidentified	
orchard.internal.IIIIlIII	q96.x.IIIIlIII	unidentified	
orchard.internal.IIIIlIIII	q96.x.IIIIlIIII	unidentified	
orchard.internal.IIIIlIIIl	q96.x.IIIIlIIIl	unidentified	
orchard.internal.IIIIlIIl	q96.x.IIIIlIIl	unidentified	
orchard.internal.IIIIlIIlI	q96.x.IIIIlIIlI	unidentified	
orchard.internal.IIIIlIIll	q96.x.IIIIlIIll	unidentified	
orchard.internal.IIIIlIl	q96.x.IIIIlIl	unidentified	
orchard.internal.IIIIlIlI	q96.x.IIIIlIlI	unidentified	
orchard.internal.IIIIlIlII	q96.x.IIIIlIlII	unidentified	
orchard.internal.IIIIlIll	q96.x.IIIIlIll	unidentified	
orchard.internal.IIIIlIllI	q96.x.IIIIlIllI	unidentified	
orchard.internal.IIIIlIlll	q96.x.IIIIlIlll	unidentified	
orchard.internal.IIIIll	q96.x.IIIIll	unidentified	
orchard.internal.IIIIllI	q96.x.IIIIllI	unidentified	
orchard.internal.IIIIllII	q96.x.IIIIllII	unidentified	
orchard.internal.IIIIllIII	q96.x.IIIIllIII	unidentified	
orchard.internal.IIIIllIIl	q96.x.IIIIllIIl	unidentified	
orchard.internal.IIIIllIl	q96.x.IIIIllIl	unidentified	
orchard.internal.IIIIllIlI	q96.x.IIIIllIlI	unidentified	
orchard.internal.IIIIllIll	q96.x.IIIIllIll	unidentified	
orchard.internal.IIIIlll	q96.x.IIIIlll	unidentified	
orchard.internal.IIIIlllI	q96.x.IIIIlllI	unidentified	
orchard.internal.IIIIlllIl	q96.x.IIIIlllIl	unidentified	
orchard.internal.IIIIllllI	q96.x.IIIIllllI	unidentified	
orchard.internal.IIIl	q96.x.IIIl	unidentified	
orchard.internal.IIIlI	q96.x.IIIlI	unidentified	
orchard.internal.IIIlII	q96.x.IIIlII	unidentified	
orchard.internal.IIIlIII	q96.x.IIIlIII	unidentified	
orchard.internal.IIIlIIII	q96.x.IIIlIIII	unidentified	
orchard.internal.IIIlIIIII	q96.x.IIIlIIIII	unidentified	
orchard.internal.IIIlIIIl	q96.x.IIIlIIIl	unidentified	
orchard.internal.IIIlIIIll	q96.x.IIIlIIIll	unidentified	
orchard.internal.IIIlIIlI	q96.x.IIIlIIlI	unidentified	
orchard.internal.IIIlIIlII	q96.x.IIIlIIlII	unidentified	
orchard.internal.IIIlIIlIl	q96.x.IIIlIIlIl	unidentified	
orchard.internal.IIIlIIll	q96.x.IIIlIIll	unidentified	
orchard.internal.IIIlIIllI	q96.x.IIIlIIllI	unidentified	
